model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
RF,0.0049845,0.005899104,0.008885865,0.007323156,0.005335177,0.006169537,0.00505702,0.007734105,0.005772367,0.006842008,0.005879374,0.005800522,0.00647509,0.006679181,0.006505409,0.006872191,0.005921691,0.007182285,0.007835268,0.006826752,0.005805676,0.007516511,0.00668962,0.006077543,0.008675655,0.007434784,0.007520115,0.006731093,0.00649917,0.009096915,0.004910652,0.00700046,0.006845914,0.008612696,0.007303852,0.011655657,0.00589049,0.007980983,0.008389647,0.004674455,0.008720047,0.006782349,0.009377566,0.00642545,0.008216183,0.008722459,0.010448768,0.010880688,0.008180088,0.007490705,0.006836952,0.008426969,0.00815894,0.010721745,0.007331619,0.009163104,0.006549556,0.010043877,0.008015295,0.007773608
XGBoost,0.003259119,0.004611317,0.004133422,0.003715537,0.003269806,0.0048145,0.004708393,0.003580768,0.004031274,0.003434836,0.004479349,0.004443254,0.003978711,0.005208449,0.004254434,0.004904319,0.005502888,0.004523639,0.00499378,0.005799072,0.004385681,0.002977036,0.005503114,0.004643294,0.006576882,0.006196332,0.005147773,0.004599547,0.004812207,0.006081672,0.005715814,0.004673282,0.004676481,0.00566428,0.004553783,0.003939148,0.004357271,0.003793861,0.00571274,0.004539742,0.005364059,0.005774105,0.003061594,0.005174801,0.004252274,0.006379693,0.005718376,0.004533319,0.005494752,0.003983463,0.005256738,0.005570146,0.005374133,0.004818428,0.004913209,0.004711846,0.003383489,0.005100777,0.005346797,0.005880863
KNN,0.005152307,0.006906741,0.00542597,0.006826609,0.008386072,0.005114207,0.005966463,0.007325741,0.004758176,0.005988494,0.006687369,0.006399333,0.006073869,0.007425452,0.007494346,0.0071537,0.005871124,0.007714705,0.008546473,0.006900287,0.007731961,0.004325799,0.009982689,0.005161698,0.009146381,0.007300234,0.007000891,0.007687457,0.005123465,0.008053828,0.00845613,0.005716673,0.007998533,0.007984266,0.006964535,0.008977677,0.007996794,0.010557792,0.0061783,0.008810682,0.008020096,0.007978546,0.00798545,0.008752751,0.00777744,0.00752795,0.009680633,0.008543136,0.006809959,0.007745582,0.007266687,0.007065717,0.007724435,0.011769945,0.009992671,0.009869995,0.007075312,0.010765741,0.010774998,0.008197327
DA,0.005892072,0.006465319,0.007394479,0.007367788,0.005708753,0.008280206,0.007187215,0.007678242,0.005911173,0.00658591,0.004556211,0.009042663,0.007792636,0.006799224,0.008647416,0.006558348,0.006728129,0.00715795,0.006619565,0.005907197,0.005548807,0.005555116,0.007985868,0.007934012,0.004767903,0.007309318,0.007215474,0.007112866,0.00724672,0.009530128,0.007102717,0.007987142,0.008859103,0.010081912,0.006458395,0.007861669,0.007632532,0.00900579,0.006070691,0.010067548,0.008311084,0.008358597,0.008979295,0.009133025,0.008555612,0.008513201,0.008273774,0.009681337,0.00878645,0.011681264,0.009077406,0.011506581,0.008731116,0.008106682,0.009110351,0.011347906,0.01163586,0.009455745,0.009119051,0.008329995
SR,0.006722,0.006543788,0.006604993,0.008224907,0.006736756,0.009042968,0.008069014,0.00792491,0.005032808,0.006185452,0.004816345,0.008115879,0.007143832,0.004952982,0.008220661,0.006616847,0.006706529,0.007437968,0.006063239,0.005277142,0.00660932,0.006524856,0.008179172,0.007384366,0.004763162,0.007163702,0.007105271,0.007081701,0.007256656,0.007755245,0.006620971,0.00671467,0.010043045,0.007435968,0.006935739,0.007322905,0.007439681,0.008577887,0.006444286,0.009638981,0.007969417,0.008933444,0.009193114,0.007209795,0.00944299,0.006881808,0.008975382,0.008912376,0.009875871,0.010600186,0.007381699,0.008364018,0.009332811,0.008987115,0.007379484,0.010541984,0.010136455,0.010390906,0.009631997,0.007937018
