model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
RF,0.005052866,0.006013881,0.008932195,0.007288308,0.005391927,0.006207121,0.004927848,0.007827643,0.005748466,0.006848996,0.005999858,0.00587162,0.006522667,0.006876745,0.006473675,0.007001266,0.005968174,0.007194796,0.007947926,0.00697002,0.005801935,0.007514363,0.006667143,0.006205753,0.008700107,0.007321808,0.007641354,0.006810154,0.006562322,0.008933984,0.004889409,0.00712571,0.007061871,0.008735335,0.00735349,0.011735245,0.005891442,0.008136216,0.008469765,0.004708787,0.008969359,0.006810962,0.00936124,0.006555062,0.008274753,0.008894767,0.010429673,0.011176917,0.008528164,0.007230595,0.006973841,0.008462792,0.008207559,0.01072225,0.00721786,0.009494381,0.006459426,0.010380071,0.008231403,0.007931981
XGBoost,0.003258198,0.004611389,0.004145721,0.003705629,0.003283994,0.004822291,0.004684481,0.003573658,0.004037795,0.003431807,0.004513683,0.004432603,0.003960806,0.005258209,0.004266,0.004902785,0.005517303,0.004519309,0.005023113,0.005789262,0.004383463,0.002972198,0.005509303,0.004654632,0.006558115,0.006223147,0.005169035,0.004610207,0.004807299,0.006088005,0.005734298,0.00466736,0.00471636,0.005701689,0.004523637,0.003948249,0.004330072,0.0037844,0.005710805,0.004566931,0.005387687,0.005784134,0.003097716,0.005187329,0.004300355,0.006398128,0.005683364,0.004524018,0.005478213,0.003999399,0.005270224,0.005582877,0.005371765,0.004824715,0.004904933,0.004702645,0.003394302,0.005092847,0.005345429,0.005874142
KNN,0.005123246,0.007215316,0.00537983,0.007033998,0.008441397,0.005245722,0.005846678,0.007462534,0.004935934,0.005979868,0.006913848,0.006571076,0.006121067,0.007460137,0.007843463,0.007256909,0.005796994,0.007890574,0.008719389,0.007033337,0.008103138,0.004612929,0.010051629,0.005199337,0.009102433,0.00742953,0.007034843,0.007760655,0.005216548,0.008026847,0.008747065,0.005876787,0.008027001,0.00798562,0.007161103,0.008935551,0.008120785,0.010764842,0.006156438,0.009068606,0.007982477,0.008106405,0.008090434,0.008813503,0.008131739,0.008108189,0.009838035,0.008781011,0.006737753,0.007460505,0.007340469,0.007117813,0.007759413,0.011732302,0.010091246,0.009897609,0.007022729,0.011132737,0.011083447,0.008517621
DA,0.006079169,0.00688796,0.007596542,0.007384062,0.005713832,0.00855161,0.006841574,0.007631823,0.006237505,0.006682157,0.004968599,0.009214419,0.007411744,0.006539517,0.008348272,0.006315971,0.006897003,0.007010337,0.006450069,0.005630586,0.005400435,0.005628461,0.007582329,0.008043949,0.005293637,0.007030656,0.007271461,0.007010156,0.006955474,0.00962365,0.006831531,0.007696187,0.009338639,0.009688819,0.006718802,0.007888337,0.00786554,0.008496804,0.00583017,0.01002376,0.007886235,0.008291131,0.009455927,0.009327096,0.008612183,0.008498492,0.008315327,0.009415849,0.008493489,0.011094416,0.009275789,0.011540359,0.008758356,0.007957923,0.008607951,0.0114669,0.011469702,0.009563478,0.00921413,0.00814357
SR,0.006845752,0.006913669,0.006632928,0.008491507,0.006310844,0.009344051,0.007751467,0.007798889,0.005732845,0.006270987,0.005205473,0.007755649,0.007077444,0.00434659,0.007793826,0.006287131,0.006761721,0.007036231,0.00575171,0.005292904,0.007035881,0.006910818,0.007814161,0.007170175,0.004509648,0.006706048,0.007039539,0.006984673,0.007147754,0.00836584,0.00673549,0.006808029,0.010364833,0.006761897,0.006951056,0.007442806,0.007434018,0.008261777,0.006133879,0.009569731,0.007161128,0.008632495,0.009108788,0.007552964,0.00938912,0.007228829,0.008841273,0.008455284,0.009101988,0.009692379,0.007847998,0.008630151,0.008898062,0.009157372,0.007471981,0.010733299,0.010440556,0.010295856,0.009229529,0.007749943
