1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0.134178457,0.250806407,0.287336884,0.336466145,0.420347544,0.556696445,0.537922264,0.56695717,0.685671406,0.707853006,0.712778051,0.707352,0.714514355,0.729890238,0.75521165,0.757115434,0.757615566,0.760707125,0.777282971,0.793431606,0.798625496,0.80556821,0.806535532,0.814985523,0.814820867,0.837265089,0.821050685
0.133509809,0.259823974,0.295277202,0.367901107,0.426564137,0.549503383,0.536479315,0.562758891,0.69186274,0.708440817,0.709755382,0.707347352,0.695767695,0.718131815,0.748884826,0.751630233,0.753015187,0.761801686,0.767018501,0.784635011,0.79173407,0.797311941,0.796960533,0.798832533,0.817968677,0.835097463,0.824035405
0.134887628,0.255730602,0.295300586,0.363388209,0.427482353,0.543309859,0.536365987,0.561303601,0.695042222,0.715803423,0.715047983,0.715415293,0.706537161,0.728782259,0.752194134,0.751859765,0.754641431,0.762071852,0.773996335,0.784961682,0.799935848,0.805125943,0.805799585,0.810604329,0.817816486,0.842329693,0.824461018
0.133210164,0.252083788,0.287062935,0.336186056,0.423557199,0.543429535,0.526191071,0.559747726,0.697161179,0.717559241,0.716917914,0.72020831,0.71161979,0.7266234,0.757937462,0.756430448,0.759779178,0.759716135,0.7730334,0.785233689,0.798196222,0.796904245,0.795851811,0.798231512,0.814930736,0.836595105,0.822029091
0.134330308,0.249871263,0.286261457,0.335911822,0.417186753,0.529450218,0.529019467,0.558638016,0.693341696,0.715247439,0.716499293,0.724374341,0.713676195,0.731615254,0.754847949,0.755507222,0.758640077,0.762806984,0.776152039,0.780694661,0.793049036,0.785932801,0.787272391,0.787971017,0.819676804,0.837696737,0.823885011
0.136675504,0.254427446,0.291657683,0.343476198,0.423636914,0.51621287,0.528760636,0.558564474,0.685266362,0.706345568,0.707138899,0.70878509,0.700974796,0.722551813,0.754414127,0.752927035,0.759276152,0.762508085,0.773149144,0.79000737,0.800522049,0.798693906,0.795034815,0.796314387,0.821135159,0.836970007,0.823285793
0.135328682,0.25249146,0.290473635,0.348324524,0.425345873,0.53189101,0.533327884,0.559082437,0.687119673,0.706381749,0.708345615,0.718769051,0.709833968,0.727010498,0.758730325,0.75670741,0.763138806,0.768650574,0.777560044,0.776735166,0.785510026,0.785111621,0.781514704,0.786626268,0.817737202,0.836515001,0.822945562
0.139440767,0.257372501,0.298575237,0.343063776,0.430566424,0.555594421,0.539812456,0.564087262,0.692382061,0.713595908,0.713537643,0.725148255,0.714565242,0.737777461,0.76476969,0.76406723,0.770238899,0.769641973,0.775047053,0.784624422,0.79710435,0.796355805,0.791161699,0.797606836,0.814897962,0.837623914,0.824109621
0.135793121,0.2560653,0.292930109,0.35698642,0.42509307,0.538630834,0.533927891,0.560707394,0.694019235,0.715720354,0.720711887,0.718758274,0.711551167,0.725900814,0.751566075,0.750161384,0.754018698,0.760377066,0.769944781,0.790300755,0.79735187,0.805336176,0.804371533,0.796323837,0.816643073,0.835392298,0.825228605
0.137277204,0.257133156,0.292174607,0.351231,0.428407006,0.54417266,0.535423759,0.562630573,0.696990449,0.718146487,0.715219401,0.71945365,0.709948242,0.728448828,0.750793547,0.751684975,0.750878288,0.75478403,0.762986357,0.778177439,0.793949559,0.800605283,0.794986629,0.801968074,0.818594278,0.838095821,0.825929429
