Model,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
RF,0.785174731,0.784166667,0.786384409,0.788534946,0.787594595,0.788434357,0.787793877,0.786889992,0.785136262,0.784375877,0.784337861,0.781801313,0.7828197,0.785440279,0.782111437,0.782124889,0.781571087,0.780750678,0.782090688,0.778725038,0.78066067,0.781616035,0.780265655,0.781251996,0.776935484,0.7771261,0.777633311,0.779148653,0.777251344,0.777453311,0.77252917,0.769060007,0.770143759,0.772421127,0.769139785,0.769608554,0.768585044,0.768094179,0.769392348,0.770151803,0.767607527,0.768247182,0.768627065,0.773397053,0.767197581,0.769661086,0.766211745,0.766715543,0.770585739,0.763677419,0.762096774,0.764869642,0.765008961,0.762630622,0.765069124,0.762061711,0.761266603,0.759918151,0.757135875,0.760918114
XGBoost,0.817580645,0.816801075,0.816747312,0.825261245,0.819594595,0.819149225,0.819163477,0.817673008,0.81701891,0.819509116,0.817883418,0.819940051,0.820146889,0.819327957,0.819222874,0.817401598,0.818817204,0.818932771,0.821272063,0.817588326,0.818781017,0.820263075,0.819512966,0.819865858,0.820645161,0.818882372,0.819502963,0.819404722,0.820497312,0.818828523,0.821259437,0.819719043,0.81868864,0.819461184,0.82188172,0.819644799,0.820032991,0.821319985,0.82168042,0.819392789,0.823003072,0.81906335,0.820298977,0.822739944,0.824798387,0.817925684,0.823966088,0.821910348,0.824320883,0.821612903,0.822646033,0.820879364,0.821706989,0.821519907,0.822695853,0.82286115,0.822367173,0.820967742,0.821749756,0.823076923
GSVM,0.720725807,0.720389785,0.72125,0.725215054,0.723202703,0.721310139,0.722758338,0.722056796,0.722983871,0.721206171,0.717317487,0.717927491,0.718101959,0.718773612,0.71829912,0.723808819,0.716487455,0.716340066,0.717041996,0.71718894,0.712887717,0.716066395,0.716967109,0.714516129,0.714064516,0.716259368,0.717050691,0.715197872,0.714784946,0.715925297,0.711101579,0.708272633,0.707643759,0.708419,0.710842294,0.708789416,0.708834311,0.705784205,0.709077269,0.712865275,0.708160522,0.708433735,0.707926829,0.709577857,0.710745968,0.707676603,0.70754756,0.704733976,0.708382852,0.706709677,0.706734961,0.704264251,0.705085125,0.704202635,0.704654378,0.704371202,0.703439279,0.708184882,0.700733138,0.705657568
KNN,0.7,0.698158602,0.69875,0.699206989,0.70122973,0.698518619,0.697279934,0.700730631,0.702419355,0.698990182,0.70475382,0.701841279,0.702520161,0.704068585,0.706143695,0.70766499,0.704480287,0.706119988,0.702571516,0.700414747,0.702372829,0.701362355,0.702324478,0.705206005,0.701419355,0.701547735,0.698469388,0.701928833,0.703074597,0.701239389,0.701578586,0.69817898,0.697966339,0.699361928,0.699121864,0.700489308,0.696847507,0.701965147,0.701050263,0.706053131,0.702304147,0.700932763,0.705841857,0.705396256,0.709637097,0.704859126,0.705769231,0.703979891,0.701782682,0.705010753,0.700523104,0.701391958,0.697603047,0.702385279,0.70281106,0.703950444,0.70398482,0.70589793,0.699608993,0.695260546
SR,0.64936828,0.648508064,0.648024194,0.646384409,0.650972973,0.64706442,0.646828868,0.649076372,0.650556174,0.649186536,0.652447651,0.653753925,0.653989055,0.655419936,0.656554252,0.657191477,0.655704898,0.656662647,0.65270846,0.64984639,0.65317928,0.651769496,0.652229602,0.654167997,0.652693548,0.652020202,0.648716261,0.653658131,0.653360215,0.652393888,0.652796843,0.650277489,0.649000701,0.652073733,0.649050179,0.650743023,0.647177419,0.654022989,0.652213053,0.655275142,0.652668971,0.65483871,0.658811959,0.656730386,0.659798387,0.6539608,0.658912324,0.654168412,0.653777589,0.656172043,0.65396687,0.649359258,0.649126344,0.656360745,0.652903226,0.656194483,0.655526566,0.657125662,0.655718475,0.647320099
