times,model,Accuracy,,/Users/zhenghongtao/opt/anaconda3/python.app/Contents/MacOS/python /Users/zhenghongtao/Desktop/pythonProject1/anove_lm.py
2,6,0.653225806,,
2,6,0.654301075,,
2,6,0.657526882,,
2,6,0.651612903,,
2,6,0.646505376,,
2,6,0.642741935,,
2,6,0.655645161,,
2,6,0.661021505,,
2,6,0.645967742,,
2,6,0.654301075,,
2,6,0.65,,
2,6,0.641129032,,
3,1,0.796774194,,
3,1,0.796774194,,
3,1,0.793548387,,
3,1,0.790591398,,
3,1,0.780107527,,
3,1,0.779301075,,
3,1,0.789247312,,
3,1,0.78655914,,
3,1,0.780376344,,
3,1,0.781451613,,
3,1,0.774193548,,
3,1,0.780376344,,
3,1,0.771774194,,
3,1,0.778494624,,
3,1,0.776344086,,
3,1,0.799193548,,
3,1,0.791129032,,
3,1,0.793548387,,
3,1,0.785483871,,
3,1,0.802419355,,
3,3,0.816935484,,
3,3,0.820967742,,
3,3,0.808602151,,
3,3,0.812634409,,
3,3,0.811290323,,
3,3,0.810752688,,
3,3,0.820967742,,
3,3,0.825806452,,
3,3,0.816397849,,
3,3,0.819086022,,
3,3,0.818817204,,
3,3,0.816397849,,
3,3,0.815053763,,
3,3,0.821236559,,
3,3,0.818817204,,
3,3,0.815860215,,
3,3,0.816935484,,
3,3,0.813978495,,
3,3,0.819623656,,
3,3,0.814784946,,
3,4,0.722043011,,
3,4,0.728494624,,
3,4,0.717741935,,
3,4,0.719354839,,
3,4,0.719623656,,
3,4,0.716935484,,
3,4,0.725806452,,
3,4,0.727956989,,
3,4,0.728225806,,
3,4,0.722043011,,
3,4,0.716935484,,
3,4,0.728225806,,
3,4,0.710483871,,
3,4,0.725806452,,
3,4,0.709139785,,
3,4,0.721505376,,
3,4,0.722043011,,
3,4,0.722043011,,
3,4,0.720698925,,
3,4,0.719892473,,
3,5,0.688172043,,
3,5,0.695698925,,
3,5,0.699462366,,
3,5,0.702956989,,
3,5,0.705913978,,
3,5,0.694892473,,
3,5,0.696774194,,
3,5,0.687903226,,
3,5,0.696236559,,
3,5,0.703225806,,
3,5,0.709946237,,
3,5,0.696236559,,
3,5,0.692741935,,
3,5,0.692473118,,
3,5,0.708064516,,
3,5,0.71155914,,
3,5,0.698655914,,
3,5,0.700806452,,
3,5,0.706989247,,
3,5,0.686290323,,
3,6,0.63655914,,
3,6,0.647849462,,
3,6,0.646774194,,
3,6,0.654032258,,
3,6,0.65188172,,
3,6,0.643548387,,
3,6,0.645967742,,
3,6,0.641397849,,
3,6,0.648655914,,
3,6,0.652688172,,
3,6,0.653494624,,
3,6,0.648655914,,
3,6,0.640860215,,
3,6,0.644354839,,
3,6,0.657258065,,
3,6,0.659677419,,
3,6,0.643548387,,
3,6,0.650268817,,
3,6,0.65672043,,
3,6,0.636290323,,
4,1,0.785752688,,
4,1,0.797311828,,
4,1,0.77311828,,
4,1,0.791935484,,
4,1,0.779301075,,
4,1,0.78844086,,
4,1,0.788172043,,
4,1,0.795967742,,
4,1,0.796505376,,
4,1,0.786290323,,
4,1,0.78655914,,
4,1,0.796505376,,
4,1,0.776612903,,
4,1,0.793548387,,
4,1,0.785215054,,
4,1,0.790053763,,
4,1,0.789247312,,
4,1,0.779301075,,
4,1,0.790591398,,
4,1,0.800268817,,
4,3,0.821774194,,
4,3,0.819623656,,
4,3,0.822311828,,
4,3,0.816666667,,
4,3,0.819623656,,
4,3,0.825806452,,
4,3,0.819623656,,
4,3,0.823924731,,
4,3,0.817473118,,
4,3,0.816666667,,
4,3,0.822580645,,
4,3,0.817473118,,
4,3,0.812096774,,
4,3,0.823924731,,
4,3,0.821236559,,
4,3,0.820698925,,
4,3,0.820698925,,
4,3,0.814247312,,
4,3,0.817204301,,
4,3,0.812903226,,
4,4,0.722043011,,
4,4,0.728225806,,
4,4,0.718548387,,
4,4,0.724731183,,
4,4,0.721236559,,
4,4,0.726612903,,
4,4,0.733870968,,
4,4,0.730376344,,
4,4,0.722849462,,
4,4,0.720967742,,
4,4,0.734946237,,
4,4,0.722849462,,
4,4,0.712365591,,
4,4,0.732795699,,
4,4,0.72016129,,
4,4,0.728494624,,
4,4,0.731182796,,
4,4,0.716397849,,
4,4,0.718010753,,
4,4,0.737634409,,
4,5,0.692204301,,
4,5,0.703763441,,
4,5,0.693010753,,
4,5,0.703763441,,
4,5,0.698655914,,
4,5,0.70188172,,
4,5,0.693010753,,
4,5,0.690591398,,
4,5,0.693817204,,
4,5,0.7,,
4,5,0.700806452,,
4,5,0.693817204,,
4,5,0.688172043,,
4,5,0.702150538,,
4,5,0.707526882,,
4,5,0.714247312,,
4,5,0.709408602,,
4,5,0.705913978,,
4,5,0.703494624,,
4,5,0.687903226,,
4,6,0.638978495,,
4,6,0.646774194,,
4,6,0.642473118,,
4,6,0.655107527,,
4,6,0.64327957,,
4,6,0.64811828,,
4,6,0.635752688,,
4,6,0.633870968,,
4,6,0.643817204,,
4,6,0.64516129,,
4,6,0.651612903,,
4,6,0.643548387,,
4,6,0.634408602,,
4,6,0.646774194,,
4,6,0.659139785,,
4,6,0.66155914,,
4,6,0.657258065,,
4,6,0.650268817,,
4,6,0.653225806,,
4,6,0.63655914,,
5,1,0.793513514,,
5,1,0.787027027,,
5,1,0.781891892,,
5,1,0.799189189,,
5,1,0.791351351,,
5,1,0.788378378,,
5,1,0.788918919,,
5,1,0.78972973,,
5,1,0.785405405,,
5,1,0.782432432,,
5,1,0.791891892,,
5,1,0.785405405,,
5,1,0.780810811,,
5,1,0.795675676,,
5,1,0.778378378,,
5,1,0.783513514,,
5,1,0.78972973,,
5,1,0.791351351,,
5,1,0.783783784,,
5,1,0.783513514,,
5,3,0.819459459,,
5,3,0.826756757,,
5,3,0.817837838,,
5,3,0.817837838,,
5,3,0.81972973,,
5,3,0.823783784,,
5,3,0.824324324,,
5,3,0.821891892,,
5,3,0.822432432,,
5,3,0.817837838,,
5,3,0.819189189,,
5,3,0.822432432,,
5,3,0.817027027,,
5,3,0.822972973,,
5,3,0.816756757,,
5,3,0.816486486,,
5,3,0.815675676,,
5,3,0.817027027,,
5,3,0.816756757,,
5,3,0.815675676,,
5,4,0.72,,
5,4,0.736216216,,
5,4,0.718648649,,
5,4,0.742162162,,
5,4,0.720810811,,
5,4,0.717837838,,
5,4,0.722702703,,
5,4,0.735675676,,
5,4,0.714594595,,
5,4,0.726756757,,
5,4,0.731081081,,
5,4,0.714594595,,
5,4,0.723243243,,
5,4,0.728648649,,
5,4,0.71027027,,
5,4,0.719189189,,
5,4,0.728378378,,
5,4,0.721351351,,
5,4,0.713243243,,
5,4,0.718648649,,
5,5,0.705945946,,
5,5,0.698918919,,
5,5,0.703783784,,
5,5,0.710540541,,
5,5,0.700540541,,
5,5,0.691891892,,
5,5,0.706216216,,
5,5,0.699189189,,
5,5,0.695405405,,
5,5,0.702972973,,
5,5,0.704594595,,
5,5,0.695405405,,
5,5,0.701081081,,
5,5,0.709459459,,
5,5,0.696756757,,
5,5,0.703513514,,
5,5,0.698378378,,
5,5,0.706216216,,
5,5,0.705135135,,
5,5,0.688648649,,
5,6,0.654864865,,
5,6,0.651891892,,
5,6,0.652972973,,
5,6,0.662162162,,
5,6,0.648378378,,
5,6,0.642162162,,
5,6,0.659189189,,
5,6,0.642432432,,
5,6,0.65,,
5,6,0.652432432,,
5,6,0.653243243,,
5,6,0.65,,
5,6,0.646216216,,
5,6,0.661891892,,
5,6,0.644864865,,
5,6,0.655405405,,
5,6,0.644324324,,
5,6,0.652432432,,
5,6,0.657567568,,
5,6,0.637027027,,
6,1,0.798858385,,
6,1,0.803479206,,
6,1,0.789616744,,
6,1,0.787985866,,
6,1,0.774667029,,
6,1,0.786898614,,
6,1,0.786898614,,
6,1,0.783365045,,
6,1,0.787170427,,
6,1,0.782821419,,
6,1,0.791247622,,
6,1,0.787170427,,
6,1,0.781734167,,
6,1,0.786626801,,
6,1,0.793422126,,
6,1,0.789344931,,
6,1,0.791247622,,
6,1,0.786626801,,
6,1,0.793965752,,
6,1,0.785539549,,
6,3,0.82280511,,
6,3,0.818456102,,
6,3,0.819271541,,
6,3,0.818184289,,
6,3,0.820630606,,
6,3,0.819271541,,
6,3,0.829056809,,
6,3,0.821446045,,
6,3,0.82008698,,
6,3,0.812476216,,
6,3,0.823892362,,
6,3,0.82008698,,
6,3,0.809758086,,
6,3,0.819271541,,
6,3,0.826882305,,
6,3,0.822533297,,
6,3,0.81465072,,
6,3,0.817640663,,
6,3,0.813835281,,
6,3,0.812748029,,
6,4,0.726284316,,
6,4,0.730633324,,
6,4,0.718945366,,
6,4,0.721935309,,
6,4,0.715139984,,
6,4,0.723837999,,
6,4,0.719488992,,
6,4,0.715411797,,
6,4,0.724381625,,
6,4,0.72111987,,
6,4,0.715955423,,
6,4,0.724381625,,
6,4,0.708344659,,
6,4,0.724925251,,
6,4,0.722207122,,
6,4,0.721391683,,
6,4,0.726556129,,
6,4,0.726556129,,
6,4,0.717858114,,
6,4,0.720848057,,
6,5,0.709866812,,
6,5,0.691927154,,
6,5,0.706333243,,
6,5,0.697635227,,
6,5,0.688393585,,
6,5,0.687849959,,
6,5,0.70606143,,
6,5,0.686762707,,
6,5,0.704974178,,
6,5,0.699266105,,
6,5,0.701984235,,
6,5,0.704974178,,
6,5,0.686490894,,
6,5,0.693829845,,
6,5,0.69790704,,
6,5,0.690296276,,
6,5,0.704430552,,
6,5,0.7033433,,
6,5,0.71421582,,
6,5,0.693829845,,
6,6,0.660138625,,
6,6,0.643014406,,
6,6,0.655517804,,
6,6,0.650081544,,
6,6,0.640024463,,
6,6,0.640568089,,
6,6,0.658235934,,
6,6,0.633229138,,
6,6,0.651712422,,
6,6,0.64790704,,
6,6,0.647635227,,
6,6,0.652527861,,
6,6,0.621812993,,
6,6,0.644917097,,
6,6,0.641927154,,
6,6,0.647091601,,
6,6,0.650081544,,
6,6,0.651984235,,
6,6,0.657964121,,
6,6,0.644917097,,
7,1,0.787315473,,
7,1,0.79743029,,
7,1,0.790869328,,
7,1,0.785948606,,
7,1,0.78868234,,
7,1,0.782941498,,
7,1,0.797977037,,
7,1,0.775833789,,
7,1,0.785675232,,
7,1,0.781848004,,
7,1,0.785948606,,
7,1,0.785675232,,
7,1,0.7870421,,
7,1,0.783488245,,
7,1,0.788408967,,
7,1,0.791416074,,
7,1,0.791689448,,
7,1,0.790322581,,
7,1,0.790322581,,
7,1,0.7870421,,
7,3,0.821268453,,
7,3,0.811153636,,
7,3,0.825915801,,
7,3,0.8218152,,
7,3,0.809240022,,
7,3,0.818534718,,
7,3,0.826462548,,
7,3,0.81224713,,
7,3,0.815254237,,
7,3,0.816074358,,
7,3,0.822908693,,
7,3,0.815254237,,
7,3,0.821268453,,
7,3,0.817987972,,
7,3,0.822908693,,
7,3,0.819628212,,
7,3,0.819081465,,
7,3,0.822361946,,
7,3,0.822088573,,
7,3,0.8218152,,
7,4,0.716785128,,
7,4,0.722799344,,
7,4,0.726626572,,
7,4,0.727993439,,
7,4,0.719518863,,
