times,model,Accuracy,F1 Score,Recall,Precision,weighted_precision,weighted_recall,test_accuracy,test_f1_weighted
1,4,0.716935484,0.714638037,0.716935484,0.714361542,0.714361542,0.716935484,0.408870968,0.405728156
1,4,0.72016129,0.71763372,0.72016129,0.717196339,0.717196339,0.72016129,0.420698925,0.418708078
1,4,0.726344086,0.72336356,0.726344086,0.723268819,0.723268819,0.726344086,0.420967742,0.419747155
1,4,0.725806452,0.722943395,0.725806452,0.723068046,0.723068046,0.725806452,0.42016129,0.418907667
1,4,0.716935484,0.714047752,0.716935484,0.713553908,0.713553908,0.716935484,0.41827957,0.415878017
1,4,0.722849462,0.719919518,0.722849462,0.719869157,0.719869157,0.722849462,0.423924731,0.421728313
1,4,0.724731183,0.721944744,0.724731183,0.722247662,0.722247662,0.724731183,0.418548387,0.416786176
1,4,0.731182796,0.728795217,0.731182796,0.728548387,0.728548387,0.731182796,0.430913978,0.428230132
1,5,0.695967742,0.687843332,0.695967742,0.689836466,0.689836466,0.695967742,0.675,0.668223017
1,5,0.697849462,0.688019615,0.697849462,0.687567454,0.687567454,0.697849462,0.690591398,0.686471379
1,5,0.69811828,0.690861038,0.69811828,0.692070943,0.692070943,0.69811828,0.680376344,0.671485391
1,5,0.69811828,0.688741628,0.69811828,0.689187463,0.689187463,0.69811828,0.679569892,0.670695911
1,5,0.696236559,0.687776193,0.696236559,0.690423603,0.690423603,0.696236559,0.685215054,0.67727036
1,5,0.69327957,0.684342764,0.69327957,0.686960929,0.686960929,0.69327957,0.665053763,0.659989185
1,5,0.701612903,0.693563991,0.701612903,0.695425472,0.695425472,0.701612903,0.67016129,0.662426868
1,5,0.697311828,0.689590969,0.697311828,0.692652285,0.692652285,0.697311828,0.678494624,0.672211622
1,5,0.696774194,0.688128486,0.696774194,0.691278246,0.691278246,0.696774194,0.682526882,0.670436309
1,5,0.705376344,0.699221448,0.705376344,0.703096626,0.703096626,0.705376344,0.687096774,0.678326768
1,5,0.707258065,0.700567288,0.707258065,0.705678024,0.705678024,0.707258065,0.699731183,0.692505596
1,5,0.696774194,0.688128486,0.696774194,0.691278246,0.691278246,0.696774194,0.688709677,0.676671029
